GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US250250001001,250250001001,"Block Group 1, Census Tract 1, Suffolk County, Massachusetts",1374,467,1058,346,593,167,126,126,0,12,322,220,0,12,0,12,17,21,14,20,3,6,316,392,49,43,0,12,0,12,0,12,0,12,266,389,1,3,0,12,1,3
1500000US250250001002,250250001002,"Block Group 2, Census Tract 1, Suffolk County, Massachusetts",1042,337,915,301,756,268,22,30,0,12,109,112,0,12,28,32,0,12,0,12,0,12,127,111,34,36,0,12,0,12,0,12,0,12,93,102,0,12,0,12,0,12
1500000US250250001003,250250001003,"Block Group 3, Census Tract 1, Suffolk County, Massachusetts",498,205,394,182,354,174,5,7,0,12,28,48,0,12,0,12,7,13,0,12,7,13,104,147,104,147,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250001004,250250001004,"Block Group 4, Census Tract 1, Suffolk County, Massachusetts",757,265,610,214,430,159,25,40,0,12,72,83,0,12,50,78,33,50,0,12,33,50,147,128,28,44,0,12,0,12,0,12,0,12,119,123,0,12,0,12,0,12
1500000US250250002011,250250002011,"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",985,237,942,244,798,240,43,46,0,12,48,72,0,12,29,56,24,36,0,12,24,36,43,46,43,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250002012,250250002012,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",306,126,306,126,275,112,0,12,0,12,24,37,0,12,0,12,7,10,0,12,7,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250002013,250250002013,"Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts",1348,298,1214,250,1030,241,46,58,0,12,71,48,0,12,40,52,27,41,27,41,0,12,134,142,106,130,0,12,0,12,0,12,0,12,0,12,28,43,0,12,28,43
1500000US250250002014,250250002014,"Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts",645,156,523,124,381,103,54,90,0,12,57,59,0,12,20,32,11,18,0,12,11,18,122,116,96,113,0,12,0,12,0,12,0,12,17,25,9,15,9,15,0,12
1500000US250250002021,250250002021,"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",1088,279,1074,276,968,271,8,13,0,12,98,92,0,12,0,12,0,12,0,12,0,12,14,33,14,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
