GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US250250001001,250250001001,"Block Group 1, Census Tract 1, Suffolk County, Massachusetts",960,250,23,28,0,12,0,12,0,12,0,12,9,13,0,12,0,12,0,12,0,12,142,133,0,12,1,3,12,19,34,42,281,141,57,58,19,25,37,31,0,12,298,148,36,30,11,16,0,12
1500000US250250001002,250250001002,"Block Group 2, Census Tract 1, Suffolk County, Massachusetts",794,285,27,37,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,18,20,27,30,158,123,19,30,19,22,50,57,43,59,250,112,164,99,0,12,8,14
1500000US250250001003,250250001003,"Block Group 3, Census Tract 1, Suffolk County, Massachusetts",398,152,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,7,31,48,0,12,10,17,115,111,0,12,0,12,51,72,0,12,147,82,31,19,0,12,10,15
1500000US250250001004,250250001004,"Block Group 4, Census Tract 1, Suffolk County, Massachusetts",590,217,26,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,51,0,12,0,12,9,15,0,12,137,91,27,45,0,12,71,59,20,22,192,86,29,26,20,16,17,19
1500000US250250002011,250250002011,"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",722,202,11,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,87,62,44,61,9,15,38,37,21,28,354,144,112,60,26,25,20,26
1500000US250250002012,250250002012,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",268,123,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,48,42,0,12,12,18,37,32,23,31,101,56,27,42,9,14,0,12
1500000US250250002013,250250002013,"Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts",947,220,8,12,0,12,0,12,0,12,5,11,25,38,0,12,14,24,17,27,0,12,4,8,0,12,22,22,4,9,36,36,174,89,22,25,20,21,96,70,18,20,272,119,175,90,0,12,35,28
1500000US250250002014,250250002014,"Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts",508,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,0,12,0,12,0,12,7,12,0,12,0,12,22,36,7,12,11,18,47,37,17,20,198,101,143,85,24,18,27,23
1500000US250250002021,250250002021,"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",903,267,10,16,0,12,0,12,0,12,0,12,0,12,0,12,17,16,0,12,0,12,0,12,0,12,8,12,35,42,0,12,133,73,0,12,70,82,150,84,12,22,334,154,123,63,0,12,11,20
