GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Family households:,Margin of Error; Income in the past 12 months below poverty level: - Family households:,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Estimate; Income in the past 12 months below poverty level: - Family households: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Estimate; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over","Margin of Error; Income in the past 12 months below poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over",Estimate; Income in the past 12 months below poverty level: - Nonfamily households:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder:,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder:,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Family households:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households:,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Married-couple family: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder under 25 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 25 to 44 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 45 to 64 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Male householder, no wife present: - Householder 65 years and over","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder under 25 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 25 to 44 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 45 to 64 years","Estimate; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over","Margin of Error; Income in the past 12 months at or above poverty level: - Family households: - Other family: - Female householder, no husband present: - Householder 65 years and over",Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Male householder: - Householder 65 years and over,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder:,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder:,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder under 25 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 25 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 45 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Nonfamily households: - Female householder: - Householder 65 years and over
1500000US250250001001,250250001001,"Block Group 1, Census Tract 1, Suffolk County, Massachusetts",543,125,122,73,63,45,58,44,0,12,14,25,13,21,31,30,5,8,0,12,0,12,0,12,0,12,0,12,5,8,5,8,0,12,0,12,0,12,59,55,12,19,0,12,12,19,0,12,0,12,47,52,0,12,0,12,0,12,47,52,421,130,272,122,200,120,0,12,53,53,132,95,15,17,72,54,13,20,0,12,0,12,13,20,0,12,59,51,0,12,34,43,25,32,0,12,149,69,29,27,0,12,17,19,0,12,12,19,120,66,3,6,37,45,0,12,80,50
1500000US250250001002,250250001002,"Block Group 2, Census Tract 1, Suffolk County, Massachusetts",405,110,58,36,13,20,0,12,0,12,0,12,0,12,0,12,13,20,0,12,0,12,0,12,0,12,0,12,13,20,13,20,0,12,0,12,0,12,45,30,20,20,11,16,9,13,0,12,0,12,25,23,25,23,0,12,0,12,0,12,347,116,122,63,99,54,0,12,42,41,34,32,23,20,23,27,14,22,0,12,0,12,14,22,0,12,9,15,0,12,0,12,9,15,0,12,225,100,118,73,13,21,72,60,33,30,0,12,107,70,0,12,29,27,69,67,9,14
1500000US250250001003,250250001003,"Block Group 3, Census Tract 1, Suffolk County, Massachusetts",191,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,191,76,113,64,101,61,0,12,54,55,21,35,26,31,12,21,0,12,0,12,0,12,0,12,0,12,12,21,0,12,12,21,0,12,0,12,78,52,27,20,0,12,27,20,0,12,0,12,51,53,0,12,16,19,4,8,31,48
1500000US250250001004,250250001004,"Block Group 4, Census Tract 1, Suffolk County, Massachusetts",363,112,67,54,26,34,0,12,0,12,0,12,0,12,0,12,26,34,0,12,0,12,0,12,0,12,0,12,26,34,0,12,13,19,13,21,0,12,41,44,24,39,0,12,24,39,0,12,0,12,17,22,12,20,0,12,5,9,0,12,296,100,44,31,44,31,0,12,35,28,9,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,252,98,139,84,0,12,112,85,0,12,27,26,113,60,5,8,41,43,11,17,56,40
1500000US250250002011,250250002011,"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",381,69,50,45,11,18,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,11,18,0,12,39,41,22,33,0,12,0,12,0,12,22,33,17,26,17,26,0,12,0,12,0,12,331,67,131,62,90,53,0,12,25,29,43,32,22,29,41,32,13,19,0,12,13,19,0,12,0,12,28,26,0,12,15,21,0,12,13,18,200,61,135,58,32,37,73,52,8,15,22,26,65,39,20,24,45,35,0,12,0,12
1500000US250250002012,250250002012,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",146,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,146,62,42,26,27,23,0,12,5,9,22,21,0,12,15,16,8,12,0,12,0,12,0,12,8,12,7,10,7,10,0,12,0,12,0,12,104,59,29,24,5,8,8,13,0,12,16,18,75,55,0,12,41,40,34,39,0,12
1500000US250250002013,250250002013,"Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts",503,86,79,50,25,25,8,13,0,12,8,13,0,12,0,12,17,20,5,8,5,8,0,12,0,12,0,12,12,19,12,19,0,12,0,12,0,12,54,53,33,43,0,12,27,42,6,9,0,12,21,20,21,20,0,12,0,12,0,12,424,88,212,78,122,57,0,12,53,39,38,29,31,30,90,67,0,12,0,12,0,12,0,12,0,12,90,67,0,12,47,55,26,36,17,18,212,75,91,54,12,15,36,39,34,32,9,15,121,55,9,10,69,36,43,42,0,12
1500000US250250002014,250250002014,"Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts",311,72,49,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,49,43,34,38,10,17,24,34,0,12,0,12,15,19,4,7,0,12,11,18,0,12,262,64,98,47,94,46,0,12,65,47,29,25,0,12,4,7,0,12,0,12,0,12,0,12,0,12,4,7,4,7,0,12,0,12,0,12,164,59,80,37,5,8,48,30,8,13,19,20,84,52,0,12,68,45,0,12,16,26
1500000US250250002021,250250002021,"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",438,92,23,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,26,0,12,0,12,0,12,0,12,0,12,23,26,10,17,0,12,13,20,0,12,415,96,169,69,116,52,0,12,5,8,59,52,52,33,53,50,0,12,0,12,0,12,0,12,0,12,53,50,0,12,27,42,26,29,0,12,246,81,152,69,15,25,79,51,32,33,26,22,94,55,0,12,58,36,27,43,9,14
