GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US250250001001,250250001001,"Block Group 1, Census Tract 1, Suffolk County, Massachusetts",543,125,24,25,132,71,16,17,30,31,3,6,83,76,0,12,16,27,13,20,72,73,23,25,44,49,16,20,15,18,0,12,56,50
1500000US250250001002,250250001002,"Block Group 2, Census Tract 1, Suffolk County, Massachusetts",405,110,27,30,30,28,10,15,0,12,14,22,18,25,22,25,16,23,0,12,34,47,54,51,37,33,41,35,19,22,54,50,29,27
1500000US250250001003,250250001003,"Block Group 3, Census Tract 1, Suffolk County, Massachusetts",191,76,0,12,31,48,0,12,7,13,0,12,18,29,0,12,0,12,29,46,21,35,20,24,21,22,0,12,22,26,22,20,0,12
1500000US250250001004,250250001004,"Block Group 4, Census Tract 1, Suffolk County, Massachusetts",363,112,12,20,55,51,17,19,0,12,9,15,0,12,0,12,34,43,0,12,0,12,40,39,82,59,79,65,19,21,0,12,16,18
1500000US250250002011,250250002011,"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",381,69,50,45,0,12,0,12,0,12,0,12,24,36,24,26,0,12,14,24,36,30,36,31,57,44,9,11,46,41,72,48,13,18
1500000US250250002012,250250002012,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",146,62,0,12,0,12,0,12,9,15,0,12,0,12,8,12,0,12,25,37,17,27,23,21,8,13,10,12,27,32,0,12,19,19
1500000US250250002013,250250002013,"Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts",503,86,53,41,5,8,0,12,38,54,14,16,29,38,31,30,7,11,33,30,18,20,72,48,41,27,39,39,31,25,32,20,60,41
1500000US250250002014,250250002014,"Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts",311,72,35,39,0,12,17,21,16,26,0,12,27,33,0,12,19,20,0,12,10,14,45,43,67,30,16,19,14,16,26,23,19,20
1500000US250250002021,250250002021,"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",438,92,0,12,32,24,6,10,17,18,28,25,0,12,0,12,27,42,5,8,51,37,74,57,12,22,103,58,30,29,20,22,33,37
