geoid,name,B01003001,"B01003001, Error"
86000US01431,01431,3177,17
86000US01432,01432,7489,302
86000US01434,01434,1658,369
86000US01450,01450,11120,19
86000US01460,01460,9359,27
86000US01463,01463,11953,22
86000US01464,01464,7436,21
86000US01469,01469,7348,294
86000US01474,01474,1934,294
86000US01701,01701,31949,752
86000US01702,01702,38573,764
86000US01718,01718,415,182
86000US01719,01719,5137,24
86000US01720,01720,22436,197
86000US01721,01721,17159,62
86000US01730,01730,13847,96
86000US01731,01731,2082,188
86000US01741,01741,5074,29
86000US01742,01742,19345,66
86000US01746,01746,14197,25
86000US01748,01748,15925,41
86000US01749,01749,19602,30
86000US01752,01752,39425,35
86000US01754,01754,10459,34
86000US01760,01760,34683,80
86000US01770,01770,4245,27
86000US01773,01773,5262,171
86000US01775,01775,6957,29
86000US01776,01776,18397,46
86000US01778,01778,13562,63
86000US01801,01801,39609,182
86000US01803,01803,25467,34
86000US01810,01810,34616,39
86000US01821,01821,31607,602
86000US01824,01824,25669,332
86000US01826,01826,30633,93
86000US01827,01827,3343,17
86000US01830,01830,26499,763
86000US01832,01832,22397,856
86000US01833,01833,8441,28
86000US01834,01834,6646,37
86000US01835,01835,13183,549
86000US01840,01840,5165,405
86000US01841,01841,48242,1040
86000US01843,01843,25397,1014
86000US01844,01844,48607,67
86000US01845,01845,29271,34
86000US01850,01850,16006,958
86000US01851,01851,30022,927
86000US01852,01852,33822,1012
86000US01854,01854,29557,1049
86000US01860,01860,6601,35
86000US01862,01862,10985,910
86000US01863,01863,9088,330
86000US01864,01864,15396,33
86000US01867,01867,24852,182
86000US01876,01876,29479,560
86000US01879,01879,12053,25
86000US01880,01880,25819,160
86000US01886,01886,23232,25
86000US01887,01887,23141,31
86000US01890,01890,22075,31
86000US01901,01901,1371,316
86000US01902,01902,47052,1210
86000US01904,01904,17521,919
86000US01905,01905,25668,888
86000US01906,01906,27620,60
86000US01907,01907,14217,105
86000US01908,01908,3454,22
86000US01913,01913,16907,26
86000US01915,01915,40670,36
86000US01921,01921,8138,38
86000US01922,01922,2803,396
86000US01923,01923,27266,51
86000US01929,01929,3608,15
86000US01930,01930,29399,24
86000US01937,01937,134,24
86000US01938,01938,13616,21
86000US01940,01940,12944,230
86000US01944,01944,5286,18
86000US01945,01945,20270,46
86000US01949,01949,9436,19
86000US01950,01950,17766,24
86000US01951,01951,4051,397
86000US01952,01952,8672,29
86000US01960,01960,51729,129
86000US01966,01966,7111,29
86000US01969,01969,6081,22
86000US01970,01970,42332,107
86000US01982,01982,8102,39
86000US01983,01983,6379,22
86000US01984,01984,5092,21
86000US01985,01985,4427,18
86000US02019,02019,16682,18
86000US02021,02021,22276,30
86000US02025,02025,8281,25
86000US02026,02026,25224,28
86000US02030,02030,5814,16
86000US02032,02032,4080,460
86000US02035,02035,17243,43
86000US02038,02038,32731,32
86000US02043,02043,22733,23
86000US02045,02045,10403,25
86000US02047,02047,151,170
86000US02050,02050,25786,214
86000US02052,02052,12368,21
86000US02053,02053,13069,29
86000US02054,02054,8051,48
86000US02056,02056,11427,99
86000US02061,02061,10740,27
86000US02062,02062,28962,27
86000US02066,02066,17880,232
86000US02067,02067,17837,100
86000US02071,02071,1837,563
86000US02072,02072,28110,44
86000US02081,02081,19270,665
86000US02090,02090,15094,24
86000US02093,02093,11287,26
86000US02108,02108,4183,530
86000US02109,02109,3947,519
86000US02110,02110,2048,307
86000US02111,02111,7537,708
86000US02113,02113,7221,371
86000US02114,02114,12882,627
86000US02115,02115,28536,1100
86000US02116,02116,22433,902
86000US02118,02118,27526,791
86000US02119,02119,26259,1274
86000US02120,02120,15500,1001
86000US02121,02121,28051,1302
86000US02122,02122,24880,1096
86000US02124,02124,53227,1723
86000US02125,02125,35379,1264
86000US02126,02126,27835,1432
86000US02127,02127,36494,1232
86000US02128,02128,44989,1328
86000US02129,02129,18058,828
86000US02130,02130,39257,1332
86000US02131,02131,31890,1240
86000US02132,02132,28506,1041
86000US02134,02134,18238,1157
86000US02135,02135,38682,1287
86000US02136,02136,31052,1416
86000US02138,02138,37252,973
