shapeid,tract_and_block_group
0,9501002
1,4177021
2,3661005
3,8120012
4,0604001
5,2505001
6,6511003
7,1008003
8,2683001
9,2216003
10,0102031
11,4081013
12,1007001
13,3116003
14,4572003
15,5202012
16,3323001
17,6552001
18,0008024
19,2175005
20,8117002
21,3611002
22,2176003
23,3336006
24,6311005
25,2175001
26,3686005
27,8024002
28,0911001
29,4222003
30,2513002
31,6501021
32,5051023
33,7307003
34,7311012
35,3163001
36,5116005
37,2171003
38,8114002
39,1708004
40,2001003
41,6527004
42,5001042
43,2041014
44,4175012
45,2022004
46,3541002
47,2514004
48,3117002
49,7324004
50,4193004
51,6409011
52,1105021
53,4134023
54,2101004
55,3381002
56,3526001
57,2105004
58,0002022
59,8017005
60,2043002
61,3423002
62,8103001
63,6403002
64,5212023
65,6406002
66,2604011
67,1204003
68,3332002
69,4222002
70,7318002
71,3113001
72,7262002
73,0703001
74,0918003
75,3684004
76,3324002
77,1203011
78,4181021
79,0104033
80,2063002
81,3514043
82,0102042
83,0701017
84,2684003
85,5106002
86,0103042
87,0108011
88,3546002
89,3563004
90,3413003
91,8026013
92,6511001
93,3529001
94,6314002
95,2066004
96,2106004
97,3682001
98,3883002
99,2605003
100,2173001
101,8124032
102,4021012
103,5061025
104,2611012
105,8107005
106,6504004
107,5091014
108,2071001
109,2063001
110,0105002
111,2107004
112,3632022
113,4007003
114,1003003
115,6316002
116,3883001
117,7313001
118,2608002
119,1005003
120,0003014
121,6507002
122,3545003
123,2201014
124,0701012
125,1707021
126,6409015
127,0913002
128,5212024
129,9001003
130,8108003
131,5115002
132,3401002
133,9009004
134,3641022
135,4042011
136,7322032
137,2057003
138,5112001
139,0137003
140,1301006
141,0121012
142,3412006
143,7092011
144,0104002
145,1106071
146,0007031
147,3733003
148,7102002
149,3393003
150,3652012
151,9002001
152,1003001
153,4564022
154,2516002
155,0406002
156,8120013
157,9001004
158,3522001
159,3701021
160,3102005
161,9351002
162,8133032
163,5115004
164,4192004
165,0504001
166,6404003
167,3416005
168,8116004
169,3527003
170,1605014
171,1203012
172,3567015
173,2610001
174,4180023
175,5113015
176,0101031
177,3416002
178,2233003
179,0712011
180,2508005
181,6421003
182,1401062
183,8117003
184,3702024
185,0818002
186,4221004
187,3704002
188,0120022
189,0902003
190,2104001
191,2031008
192,0203021
193,3400002
194,8110004
195,0118024
196,9005001
197,1009005
198,3509003
199,7315003
200,3701014
201,1803011
202,0147001
203,8133042
204,0512002
205,0102033
206,8003003
207,6552002
208,7316001
209,7316003
210,2515003
211,7251004
212,1702003
213,2507001
214,5241011
215,2518002
216,1304062
217,3372023
218,2541001
219,8118004
220,0701016
221,1604002
222,3164003
223,2021024
224,2606002
225,6301023
226,9002003
227,0805001
228,0814003
229,3334001
230,3421014
231,0002024
232,3101001
233,3384003
234,8116002
235,3525002
236,2172022
237,0126023
238,0814002
239,5109001
240,3572002
241,0919004
242,3836003
243,3704001
244,3352005
245,6405003
246,2111003
247,8217002
248,4174002
249,0143002
250,7471022
251,6554001
252,0903003
253,0806011
254,3527002
255,3418006
256,3423001
257,3362004
258,0301002
259,7314005
260,3564005
261,2509001
262,5305003
263,3334003
264,2172013
265,7073003
266,2513001
267,3742002
268,8007001
269,3531022
270,6404002
271,6442001
272,7320011
273,2052005
274,0601011
275,5105011
276,1708003
277,6521003
278,1605022
279,2091005
280,2522012
281,4151021
282,7302004
283,7311023
284,4111002
285,2112004
286,8014021
287,4043015
288,2114024
289,7326004
290,5109003
291,3343003
292,6420002
293,6528001
294,3416001
295,3529002
296,6418002
297,6404001
298,0903001
299,2059003
300,0914002
301,3417002
302,6413004
303,3213005
304,2601003
305,7411024
306,9811004
307,2511001
308,3361005
309,1103011
310,7441014
311,7423001
312,3566021
313,6417002
314,0150012
315,6422003
316,7097012
317,3141021
318,0917002
319,5108006
320,3840011
321,5115001
322,3833002
323,4043012
324,5117022
325,2541002
326,5111004
327,1802001
328,5105031
329,3373005
330,0503002
331,3567025
332,0605013
333,3514032
334,4421014
335,1011021
336,4135002
337,0103001
338,0106002
339,0202003
340,0301001
341,0403004
342,1006014
343,1010013
344,1008002
345,1010014
346,1011012
347,1104012
348,1104034
349,1105012
350,1205002
351,1204004
352,1301004
353,1303004
354,1304021
355,1401023
356,1403001
357,1601012
358,1603001
359,1606022
360,1701001
361,1701005
362,1702001
363,1703007
364,1703005
365,0303004
366,0502001
367,0507003
368,0601013
369,0605015
370,0608003
371,0701013
372,0702001
373,0707002
374,0708001
375,0805002
376,0809003
377,0811001
378,0817002
379,0819003
380,0820003
381,0901003
382,0902002
383,0911005
384,0911002
385,0913001
386,0918002
387,0920004
388,0108003
389,0145001
390,0148001
391,0125024
392,0922003
393,1001004
394,1003004
395,0001002
396,0507002
397,0004021
398,1404005
399,0005021
400,0006013
401,0006021
402,0007014
403,0007042
404,1704002
405,1706011
406,1802002
407,0140023
408,0116002
409,0114004
410,0143005
411,0112004
412,0101003
413,0135002
414,0121015
415,5091024
416,5061014
417,5062021
418,5423003
419,5423005
420,5081014
421,5081023
422,5305002
423,5309014
424,5305001
425,5022004
426,5051013
427,5241012
428,5212011
429,9222001
430,5101002
431,5103001
432,5105022
433,5107002
434,5111003
435,5112003
436,5113024
437,5114003
438,5116003
439,5117011
440,5441003
441,5071033
442,5261003
443,9221004
444,9222004
445,9311001
446,9251004
447,9332001
448,9141005
449,9131006
450,9353001
451,9213003
452,9001001
453,9004005
454,9006002
455,9009001
456,5031023
457,5012012
458,5001013
459,9201021
460,9342001
461,2602001
462,2603021
463,2605002
464,2232002
465,2502003
466,2506002
467,2509002
468,2516001
469,2056003
470,2057004
471,2061001
472,2063003
473,2065003
474,2069002
475,2664002
476,2541003
477,2542003
478,2111002
479,2112001
480,2213003
481,2601002
482,2042003
483,2661005
484,2046005
485,2081023
486,2022001
487,2532052
488,2032003
489,2621001
