zip_codes,population,neighborhood
02108,4183,Beacon Hill
02109,3947,Boston
02110,2048,Downtown / Financial District
02111,7537,Downtown / Financial District
02113,7221,North End
02114,12882,Beacon Hill
02115,28536,Fenway / Kenmore / Audubon Circle / Longwood
02116,22433,Back Bay
02118,27526,South End
02119,26259,Roxbury
02120,15500,Mission Hill
02121,28051,Dorchester
02122,24880,Dorchester
02124,53227,Dorchester
02125,35379,Dorchester
02126,27835,Mattapan
02127,36494,South Boston
02128,44989,East Boston
02129,18058,Charlestown
02130,39257,Jamaica Plain
02131,31890,Roslindale
02132,28506,West Roxbury
02134,18238,Allston / Brighton
02135,38682,Allston / Brighton
02136,31052,Hyde Park
02199,1173,Back Bay
02210,2179,South Boston
02215,24521,Fenway / Kenmore / Audubon Circle / Longwood
02467,23520,Chestnut Hill
